,Unknown,St. Croix,St. John,St. Thomas
2020-11-28,,590,85,865
2020-11-29,,590,85,869
2020-11-30,,590,85,869
2020-12-01,,593,85,872
2020-12-02,,605,94,890
2020-12-03,,605,94,890
2020-12-04,,609,106,898
2020-12-05,,609,106,898
2020-12-06,,609,106,898
2020-12-07,,620,116,913
2020-12-08,,633,126,921
2020-12-09,,642,127,929
2020-12-10,,667,130,936
2020-12-11,,697,145,949
2020-12-12,,697,145,949
2020-12-13,,697,145,949
2020-12-14,,705,145,957
2020-12-15,,715,147,966
2020-12-16,,715,147,966
2020-12-17,,753,151,974
2020-12-18,,762,158,980
2020-12-19,,769,158,983
2020-12-20,,777,158,986
2020-12-21,,777,158,986
2020-12-22,,782,165,987
2020-12-23,,794,166,990
2020-12-24,,799,166,1002
2020-12-25,,809,166,1004
2020-12-26,,809,166,1004
2020-12-27,,809,166,1004
2020-12-28,,809,166,1004
2020-12-29,,809,166,1004
2020-12-30,,822,168,1020
2020-12-31,,829,174,1028
2021-01-01,,830,174,1032
2021-01-02,,835,175,1032
2021-01-03,,835,175,1032
2021-01-04,,835,175,1032
2021-01-05,,835,175,1032
2021-01-06,,835,175,1032
2021-01-07,,835,175,1032
2021-01-08,,835,175,1032
2021-01-09,,835,175,1032
2021-01-10,,835,175,1032
2021-01-11,,835,175,1032
2021-01-12,,892,178,1096
2021-01-13,,892,178,1096
2021-01-14,,892,178,1096
2021-01-15,,892,178,1096
2021-01-16,,892,178,1096
2021-01-17,,942,189,1129
2021-01-18,,942,189,1129
2021-01-19,,957,189,1137
2021-01-20,,964,197,1144
2021-01-21,,964,197,1144
2021-01-22,,971,198,1152
2021-01-23,,983,198,1160
2021-01-24,,983,198,1160
2021-01-25,,991,198,1161
2021-01-26,,1000,202,1171
2021-01-27,,1000,202,1171
2021-01-28,,1007,202,1175
2021-01-29,,1012,203,1183
2021-01-30,,1012,203,1183
2021-01-31,,1012,203,1183
2021-02-01,,1021,204,1196
2021-02-02,,1025,204,1197
2021-02-03,,1025,205,1200
2021-02-04,,1028,206,1206
2021-02-05,,1029,208,1212
2021-02-06,,1029,208,1212
2021-02-07,,1032,208,1226
2021-02-08,,1032,208,1226
