,Honolulu,Kauai,Maui,Hawaii,Unknown,Kalawao
2021-04-07,23922,201,3839,2589,,1
2021-04-08,23991,202,3879,2600,,1
2021-04-09,24097,202,3933,2611,,1
2021-04-10,24171,202,3959,2623,,1
2021-04-11,24243,202,3970,2629,,1
2021-04-12,24291,202,3985,2634,,1
2021-04-13,24330,202,4003,2639,,1
2021-04-14,24365,202,4020,2654,,1
2021-04-15,24422,202,4044,2668,,1
2021-04-16,24537,202,4099,2671,,1
2021-04-17,24585,203,4135,2682,,1
2021-04-18,24678,203,4141,2692,,1
2021-04-19,24730,203,4151,2694,,1
2021-04-20,24754,203,4164,2695,,1
2021-04-21,24797,206,4180,2701,,1
2021-04-22,24869,208,4189,2710,,1
2021-04-23,24981,207,4210,2715,,1
2021-04-24,25021,209,4215,2719,,1
2021-04-25,25119,212,4227,2725,,1
2021-04-26,25161,226,4233,2728,,1
2021-04-27,25198,225,4240,2733,,1
2021-04-28,25253,227,4250,2734,,1
2021-04-29,25332,233,4276,2738,,1
2021-04-30,25463,245,4310,2748,,1
2021-05-01,25532,262,4331,2756,,1
2021-05-02,25611,271,4347,2759,,1
2021-05-03,25660,278,4358,2763,,1
2021-05-04,25719,279,4368,2765,,1
2021-05-05,25757,285,4376,2767,,1
2021-05-06,25856,289,4386,2777,,1
2021-05-07,25957,297,4416,2781,,1
2021-05-08,26030,299,4423,2787,,1
2021-05-09,26079,299,4439,2795,,1
2021-05-10,26115,305,4449,2795,,1
2021-05-11,26165,306,4453,2798,,1
2021-05-12,26195,306,4461,2799,,1
2021-05-13,26243,306,4479,2806,,1
2021-05-14,26349,308,4497,2811,,1
2021-05-15,26428,309,4512,2814,,1
2021-05-16,26529,309,4524,2817,,1
2021-05-17,26583,309,4530,2824,,1
2021-05-18,26632,312,4532,2823,,1
2021-05-19,26694,313,4554,2834,,1
2021-05-20,26755,313,4569,2836,,1
2021-05-21,26794,316,4571,2839,,1
2021-05-22,26865,316,4588,2840,,1
2021-05-23,26900,317,4588,2848,,1
2021-05-24,26923,317,4594,2853,,1
2021-05-25,26939,318,4595,2855,,1
2021-05-26,26969,318,4602,2864,,1
2021-05-27,27007,318,4611,2870,,1
2021-05-28,27031,318,4619,2875,,1
2021-05-29,27059,318,4625,2886,,1
2021-05-30,27107,320,4631,2949,,1
2021-05-31,27127,321,4637,2949,,1
2021-06-01,27157,324,4640,2968,,1
2021-06-02,27170,323,4649,2968,,1
2021-06-03,27206,324,4650,2971,,1
2021-06-04,27233,324,4663,2996,,1
2021-06-05,27274,325,4676,3005,,1
2021-06-06,27306,325,4688,3040,,1
2021-06-07,27323,324,4700,3043,,1
